,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26542,USA,United States of America,PCSP3 Airport,USA0058538,2.5,36.2881,-78.9861,Solar,,,,2011.0,Carolina Solar Energy II LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,4.24,4.23,4.204,4.3020000000000005,4.154,
26543,USA,United States of America,PE Berkeley,USA0050849,28.5,37.8703,-122.2634,Gas,Oil,,,1987.0,Berkeley Cogeneration Facility,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21210,2017.0,0.0,164.78499800000003,0.0,0.0,186.458264,
26544,USA,United States of America,PEC Headworks,USA0007113,6.6,47.1596,-119.8963,Hydro,,,,1990.0,PUD No 2 of Grant County,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21316,2017.0,20.739,23.476,22.532,21.28,14.94603,
26545,USA,United States of America,PHP 1,USA0004213,23.7,45.4817,-122.0832,Hydro,,,,1982.0,Portland City of,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,52.542,56.508,38.341,53.385,55.234,
26546,USA,United States of America,PHP 2,USA0004214,11.8,45.449,-122.1513,Hydro,,,,1982.0,Portland City of,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,5.681,35.910000000000004,27.142,36.712,40.713,
26547,USA,United States of America,PInova Inc,USA0010120,7.1,31.1648,-81.4787,Waste,Gas,Oil,Other,1980.0,PInova Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0,0.0,0.0,0.0,0.0,
26548,USA,United States of America,POTB Digester,USA0058591,1.0,45.4144,-123.8042,Biomass,,,,2013.0,Port of Tillamook Bay,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,2.52,5.678,7.324520000000001,,0.0,
26549,USA,United States of America,PPG Industries Works 4,USA0054364,6.0,34.0035,-98.5535,Oil,,,,1976.3333333333333,Vitro Architectural Glass,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.147,0.147,0.131,0.146,0.136,
26550,USA,United States of America,PPG Monroeville Chemicals Center,USA0058047,1.1,40.4422,-79.7311,Oil,,,,1998.5454545454545,PPG Monroeville Chemicals Center,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0,0.0,0.0,0.0,0.0,
26551,USA,United States of America,PPG Plant C Caustic,USA0050490,3.4,30.2264,-93.2938,Gas,,,,1986.0,Eagle 2 US LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,7.908,11.97,8.965,12.498,14.322,
26552,USA,United States of America,PPG Powerhouse A,USA0050487,52.5,30.2251,-93.2813,Other,,,,1949.6666666666667,Eagle 2 US LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,32.458,29.422,32.837,20.435,10.495,
26553,USA,United States of America,PPG Powerhouse C,USA0050489,357.7,30.2261,-93.2952,Gas,,,,1981.0891808778308,Eagle 2 US LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,2236.357,2074.3112450000003,1843.34317,1602.0915019999998,1772.379,
26554,USA,United States of America,PPG Riverside,USA0050488,162.0,30.2217,-93.2807,Other,,,,1958.969135802469,Eagle 2 US LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,301.541,220.727,279.926,245.384,278.571,
26555,USA,United States of America,PPL Frey Farm Landfill Wind,USA0057182,3.2,39.9592,-76.4556,Wind,,,,2011.0,EPP Renewable Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55692,2017.0,6.463,6.313,6.140000000000001,6.651,6.2090000000000005,
